x,y,chainage_m,dist_m,dh_m,reliability
339933,3124861,28458,947,-0.34,15
341213,3124861,27973,1956,-0.06,12
342173,3124861,27973,2825,0.57,45
343533,3124861,26016,4082,0.81,53
343933,3124861,26016,4407,0.73,35
344093,3124861,26016,4541,0.40,61
344173,3124861,26016,4608,0.51,17
332413,3124781,29219,6427,-0.70,63
332493,3124781,29219,6347,-0.44,35
332573,3124781,29219,6267,-0.98,12
332653,3124781,29219,6188,-0.58,30
332733,3124781,29219,6108,25.11,61
333133,3124781,29219,5708,-0.42,58
333213,3124781,29219,5628,-0.59,23
333373,3124781,29219,5468,-0.56,34
333533,3124781,29219,5308,-0.82,35
333853,3124781,29219,4988,-0.52,71
333933,3124781,29219,4908,-0.74,54
334013,3124781,29219,4828,9.97,62
334093,3124781,29219,4748,-0.98,54
334413,3124781,29219,4428,7.66,29
334493,3124781,29219,4349,-0.37,73
334573,3124781,29219,4269,-0.68,54
334653,3124781,29219,4189,-0.25,36
334813,3124781,29219,4029,-18.27,21
334973,3124781,29219,3869,-0.22,43
335133,3124781,29219,3709,-0.30,59
336173,3124781,29219,2671,-0.53,40
336333,3124781,29219,2511,-0.62,45
336493,3124781,29219,2351,-0.13,27
336573,3124781,29219,2272,-0.45,74
336653,3124781,29219,2192,-0.48,62
336733,3124781,29219,2112,-0.68,33
336813,3124781,29219,2032,-8.49,32
336893,3124781,29219,1953,-0.43,52
336973,3124781,29219,1873,-0.38,49
337213,3124781,29219,1634,-0.33,57
337293,3124781,29219,1555,-0.08,42
337453,3124781,29219,1396,-0.47,74
337533,3124781,29219,1316,-12.66,14
337613,3124781,29219,1237,-0.36,52
337693,3124781,29219,1158,7.05,48
337773,3124781,29219,1079,-0.43,19
338173,3124781,29219,687,-0.42,38
338253,3124781,29219,610,-0.23,57
338333,3124781,29219,534,0.02,59
341453,3124781,27973,2204,-13.60,13
341533,3124781,27973,2274,0.40,29
342173,3124781,27973,2854,0.57,25
332573,3124701,29219,6270,-0.72,61
332653,3124701,29219,6190,-0.50,33
332733,3124701,29219,6110,-0.82,46
332893,3124701,29219,5950,-0.80,72
333133,3124701,29219,5711,-0.61,40
333293,3124701,29219,5551,-0.91,34
333533,3124701,29219,5311,-0.73,77
333693,3124701,29219,5151,-0.81,31
333933,3124701,29219,4912,-3.00,40
334013,3124701,29219,4832,-1.00,22
334253,3124701,29219,4592,-0.61,53
334493,3124701,29219,4352,-0.61,60
334573,3124701,29219,4273,-0.69,54
334653,3124701,29219,4193,-0.19,37
334733,3124701,29219,4113,-0.69,60
334893,3124701,29219,3953,-0.63,22
335053,3124701,29219,3794,-0.34,51
335213,3124701,29219,3634,-0.33,49
335773,3124701,29219,3076,-0.69,15
336173,3124701,29219,2677,-0.83,46
336253,3124701,29219,2597,4.19,40
336413,3124701,29219,2438,-0.48,59
336493,3124701,29219,2359,3.29,54
336573,3124701,29219,2279,-0.47,51
336653,3124701,29219,2200,-0.15,32
336973,3124701,29219,1882,0.08,38
337053,3124701,29219,1803,-0.12,31
337213,3124701,29219,1645,0.01,59
337373,3124701,29219,1487,0.01,73
337453,3124701,29219,1408,-0.22,58
337613,3124701,29219,1251,-2.53,47
337773,3124701,29219,1095,-0.15,30
338013,3124701,29641,862,0.08,65
338093,3124701,29641,783,-0.37,65
338173,3124701,29641,703,-2.58,21
338253,3124701,29641,624,7.72,34
338333,3124701,29641,546,4.99,36
338733,3124701,29509,166,-61.79,13
338893,3124701,29509,14,32.36,15
339133,3124701,29509,235,-0.19,57
339293,3124701,29509,395,6.31,19
341533,3124701,27973,2313,8.61,40
341613,3124701,27973,2382,-0.01,53
342013,3124701,27973,2739,0.80,21
342253,3124701,27973,2959,0.51,52
342893,3124701,27973,3557,-0.03,45
332493,3124621,29219,6354,-1.09,28
332573,3124621,29219,6274,-1.01,41
332653,3124621,29219,6194,-1.07,39
332973,3124621,29219,5875,-0.61,60
333053,3124621,29219,5795,-0.40,44
333133,3124621,29219,5715,-0.83,61
333213,3124621,29219,5635,-0.83,26
333373,3124621,29219,5475,-39.30,16
333453,3124621,29219,5395,-0.44,55
333533,3124621,29219,5316,-0.79,63
333693,3124621,29219,5156,-0.69,51
333773,3124621,29219,5076,-0.77,31
333853,3124621,29219,4996,-0.50,77
333933,3124621,29219,4916,6.62,24
334013,3124621,29219,4837,-0.57,43
334173,3124621,29219,4677,-0.48,65
334333,3124621,29219,4517,-20.87,27
334493,3124621,29219,4358,-0.84,27
334573,3124621,29219,4278,-0.49,40
334653,3124621,29219,4198,-0.33,63
334813,3124621,29219,4039,-0.66,48
334973,3124621,29219,3879,-0.65,30
335133,3124621,29219,3720,19.62,12
335213,3124621,29219,3640,-7.96,47
335293,3124621,29219,3561,-0.52,39
335853,3124621,29219,3004,-0.02,46
335933,3124621,29219,2924,-0.67,48
336013,3124621,29219,2845,37.35,16
336093,3124621,29219,2765,-0.43,51
336173,3124621,29219,2686,-0.42,81
336253,3124621,29219,2606,-0.58,62
336413,3124621,29219,2448,-0.12,57
336573,3124621,29219,2289,-0.50,45
336813,3124621,29219,2052,-0.31,36
336893,3124621,29219,1973,1.08,44
337373,3124621,29641,1495,7.13,28
337453,3124621,29641,1415,-0.34,59
337613,3124621,29641,1255,28.11,34
337693,3124621,29641,1175,-0.38,31
337773,3124621,29641,1095,7.69,13
337933,3124621,29641,936,-0.09,69
338013,3124621,29641,856,-0.00,50
338093,3124621,29641,776,-7.78,16
339293,3124621,29509,406,0.56,13
339533,3124621,29509,642,-0.19,40
341613,3124621,27973,2422,-0.10,14
341933,3124621,27973,2702,0.64,26
342093,3124621,27973,2846,0.75,13
342813,3124621,27973,3509,0.18,24
344253,3124621,26016,4807,0.59,66
332493,3124541,29219,6359,-0.67,65
332573,3124541,29219,6279,8.79,14
332653,3124541,29219,6199,-0.60,39
332733,3124541,29219,6119,-0.77,75
332893,3124541,29219,5959,-0.57,19
332973,3124541,29219,5880,-3.70,69
333053,3124541,29219,5800,-0.59,24
333133,3124541,29219,5720,-0.81,57
333613,3124541,29219,5241,5.55,32
333853,3124541,29219,5002,-0.72,76
333933,3124541,29219,4922,-0.57,39
334013,3124541,29219,4843,-0.53,74
334093,3124541,29219,4763,-0.66,67
334173,3124541,29219,4683,8.15,42
334253,3124541,29219,4604,-0.85,50
334333,3124541,29219,4524,-0.60,48
334733,3124541,29219,4126,-18.87,28
334813,3124541,29219,4046,-0.69,49
334893,3124541,29219,3967,-0.44,52
334973,3124541,29219,3887,-0.34,55
335213,3124541,29219,3649,-5.37,18
335373,3124541,29219,3490,-0.66,15
335693,3124541,29219,3172,-0.07,24
335933,3124541,29219,2934,9.40,46
336013,3124541,29219,2855,-0.51,73
336253,3124541,29641,2616,-0.24,76
336333,3124541,29641,2536,-0.45,74
336653,3124541,29641,2216,-0.67,13
336733,3124541,29641,2136,-0.15,67
337693,3124541,29641,1176,-1.86,15
337933,3124541,29641,937,-0.13,30
338013,3124541,29641,857,-0.28,51
338173,3124541,29641,697,0.17,45
338413,3124541,29641,458,5.19,23
339773,3124541,30063,815,16.78,14
340573,3124541,30341,1564,0.36,16
341053,3124541,28131,2008,-0.03,48
342173,3124541,27973,2953,5.80,12
342333,3124541,27973,3097,0.80,29
342893,3124541,27973,3612,0.19,21
332413,3124461,29219,6444,-0.62,37
332493,3124461,29219,6364,-0.52,47
332733,3124461,29219,6125,-0.68,75
332973,3124461,29219,5886,-0.92,68
333133,3124461,29219,5726,-35.04,26
333373,3124461,29219,5487,-0.57,35
333453,3124461,29219,5408,-0.71,29
333773,3124461,29219,5089,-0.31,51
333853,3124461,29219,5009,-0.99,43
334093,3124461,29219,4771,-2.93,31
334173,3124461,29219,4691,-0.84,42
334253,3124461,29219,4612,-0.77,71
334333,3124461,29219,4532,-0.39,50
334573,3124461,29219,4293,3.74,50
334653,3124461,29219,4214,-0.44,15
334733,3124461,29219,4135,-0.59,16
335693,3124461,29641,3178,0.05,29
335773,3124461,29641,3098,-0.31,63
335853,3124461,29641,3018,-0.60,34
335933,3124461,29641,2938,-0.61,53
336173,3124461,29641,2698,-0.69,46
336253,3124461,29641,2618,-0.53,81
336413,3124461,29641,2459,-0.55,73
336493,3124461,29641,2379,-0.51,54
336573,3124461,29641,2299,-0.26,64
336653,3124461,29641,2219,-0.62,25
336733,3124461,29641,2139,-0.24,48
337533,3124461,29641,1342,-0.05,23
337613,3124461,29641,1262,-0.50,59
337853,3124461,29641,1024,6.77,41
337933,3124461,29641,944,-0.51,45
338013,3124461,29641,865,-0.01,21
338093,3124461,29641,786,-0.06,68
338493,3124461,29641,398,12.81,13
340893,3124461,30341,1845,26.91,13
342973,3124461,27973,3716,0.81,28
332573,3124381,29219,6291,-0.46,36
332653,3124381,29219,6212,-0.93,78
