chainage_m,x_utm45,y_utm45,lon,lat,elev_m
10740,350687.8,3135033.6,85.47679,28.33300,2814.1
10770,350657.8,3135033.6,85.47649,28.33300,2811.9
10800,350627.8,3135033.6,85.47618,28.33299,2813.6
10830,350597.8,3135033.6,85.47588,28.33299,2804.3
10872,350567.8,3135063.6,85.47557,28.33326,2797.8
10902,350537.8,3135063.6,85.47526,28.33326,2789.3
10932,350507.8,3135063.6,85.47496,28.33325,2787.1
10962,350477.8,3135063.6,85.47465,28.33325,2787.3
11005,350447.8,3135093.6,85.47434,28.33352,2787.3
11035,350417.8,3135093.6,85.47403,28.33351,2785.3
11065,350387.8,3135093.6,85.47373,28.33351,2781.4
11095,350357.8,3135093.6,85.47342,28.33351,2779.8
11125,350327.8,3135093.6,85.47312,28.33350,2771.7
11167,350297.8,3135123.6,85.47281,28.33377,2763.0
11197,350267.8,3135123.6,85.47250,28.33377,2753.9
11227,350237.8,3135123.6,85.47219,28.33376,2749.3
11257,350207.8,3135123.6,85.47189,28.33376,2748.8
11287,350177.8,3135123.6,85.47158,28.33376,2749.8
11317,350147.8,3135123.6,85.47128,28.33375,2752.7
11347,350117.8,3135123.6,85.47097,28.33375,2753.4
11377,350087.8,3135123.6,85.47066,28.33375,2753.0
11420,350057.8,3135153.6,85.47035,28.33401,2748.4
11450,350027.8,3135153.6,85.47005,28.33401,2737.9
11492,349997.8,3135183.6,85.46974,28.33428,2736.9
11522,349967.8,3135183.6,85.46943,28.33427,2735.6
11565,349937.8,3135213.6,85.46912,28.33454,2733.9
11607,349907.8,3135243.6,85.46881,28.33481,2725.1
11649,349877.8,3135273.6,85.46850,28.33507,2715.1
11692,349847.8,3135303.6,85.46819,28.33534,2708.8
11722,349817.8,3135303.6,85.46789,28.33534,2705.4
11764,349787.8,3135273.6,85.46759,28.33506,2698.0
11794,349757.8,3135273.6,85.46728,28.33506,2692.3
11824,349727.8,3135273.6,85.46697,28.33506,2687.3
11867,349697.8,3135303.6,85.46666,28.33532,2684.4
11897,349667.8,3135303.6,85.46636,28.33532,2682.0
11939,349637.8,3135333.6,85.46605,28.33559,2678.6
11969,349607.8,3135333.6,85.46574,28.33559,2674.1
11999,349577.8,3135333.6,85.46544,28.33558,2670.5
12042,349547.8,3135363.6,85.46513,28.33585,2668.4
12072,349517.8,3135363.6,85.46482,28.33585,2664.9
12102,349487.8,3135363.6,85.46451,28.33584,2665.5
12132,349457.8,3135363.6,85.46421,28.33584,2665.1
12162,349427.8,3135363.6,85.46390,28.33584,2658.8
12192,349397.8,3135363.6,85.46360,28.33583,2653.9
12222,349367.8,3135363.6,85.46329,28.33583,2652.7
12252,349337.8,3135363.6,85.46298,28.33582,2653.7
12294,349307.8,3135393.6,85.46267,28.33609,2653.7
12324,349277.8,3135393.6,85.46237,28.33609,2649.4
12366,349247.8,3135423.6,85.46206,28.33636,2645.0
12396,349217.8,3135423.6,85.46175,28.33635,2642.1
12426,349187.8,3135423.6,85.46145,28.33635,2639.7
12469,349157.8,3135453.6,85.46114,28.33662,2636.8
12499,349127.8,3135453.6,85.46083,28.33661,2638.3
12541,349157.8,3135423.6,85.46114,28.33635,2638.4
12571,349127.8,3135423.6,85.46083,28.33634,2639.1
12614,349097.8,3135453.6,85.46052,28.33661,2638.5
12644,349067.8,3135453.6,85.46022,28.33661,2639.7
12686,349097.8,3135423.6,85.46053,28.33634,2639.8
12716,349067.8,3135423.6,85.46022,28.33634,2642.3
12759,349037.8,3135453.6,85.45991,28.33660,2640.5
12789,349007.8,3135453.6,85.45961,28.33660,2635.8
12819,348977.8,3135453.6,85.45930,28.33660,2628.3
12849,348947.8,3135453.6,85.45899,28.33659,2621.9
12879,348917.8,3135453.6,85.45869,28.33659,2617.0
12909,348887.8,3135453.6,85.45838,28.33659,2611.8
12939,348857.8,3135453.6,85.45808,28.33658,2608.5
12969,348827.8,3135453.6,85.45777,28.33658,2604.1
12999,348797.8,3135453.6,85.45747,28.33657,2603.3
13029,348767.8,3135453.6,85.45716,28.33657,2607.8
13059,348767.8,3135423.6,85.45716,28.33630,2609.0
13089,348797.8,3135423.6,85.45747,28.33630,2609.1
13119,348827.8,3135423.6,85.45777,28.33631,2610.8
13149,348857.8,3135423.6,85.45808,28.33631,2614.7
13179,348887.8,3135423.6,85.45839,28.33631,2618.4
13209,348917.8,3135423.6,85.45869,28.33632,2626.2
13239,348947.8,3135423.6,85.45900,28.33632,2633.1
13269,348977.8,3135423.6,85.45930,28.33632,2640.6
13299,349007.8,3135423.6,85.45961,28.33633,2642.4
13329,349037.8,3135423.6,85.45992,28.33633,2645.0
13371,349007.8,3135393.6,85.45961,28.33606,2651.4
13401,348977.8,3135393.6,85.45931,28.33605,2649.4
13431,348947.8,3135393.6,85.45900,28.33605,2645.3
13461,348917.8,3135393.6,85.45870,28.33605,2642.2
13491,348887.8,3135393.6,85.45839,28.33604,2636.7
13521,348857.8,3135393.6,85.45808,28.33604,2630.5
13551,348827.8,3135393.6,85.45778,28.33604,2626.9
13581,348797.8,3135393.6,85.45747,28.33603,2628.0
13611,348767.8,3135393.6,85.45717,28.33603,2623.1
13653,348737.8,3135423.6,85.45686,28.33630,2610.6
13683,348707.8,3135423.6,85.45655,28.33629,2612.1
13726,348737.8,3135453.6,85.45685,28.33657,2613.2
13768,348767.8,3135483.6,85.45716,28.33684,2616.7
13798,348797.8,3135483.6,85.45746,28.33685,2612.5
13828,348827.8,3135483.6,85.45777,28.33685,2611.5
13858,348857.8,3135483.6,85.45807,28.33685,2615.1
13888,348887.8,3135483.6,85.45838,28.33686,2619.4
13918,348917.8,3135483.6,85.45869,28.33686,2624.2
13948,348947.8,3135483.6,85.45899,28.33686,2626.7
13978,348977.8,3135483.6,85.45930,28.33687,2632.0
14008,349007.8,3135483.6,85.45960,28.33687,2641.1
14038,349037.8,3135483.6,85.45991,28.33687,2645.0
14068,349067.8,3135483.6,85.46021,28.33688,2646.8
14098,349097.8,3135483.6,85.46052,28.33688,2647.3
14128,349127.8,3135483.6,85.46083,28.33688,2648.1
14158,349157.8,3135483.6,85.46113,28.33689,2649.5
14201,349187.8,3135453.6,85.46144,28.33662,2640.8
14231,349217.8,3135453.6,85.46175,28.33662,2646.5
14261,349247.8,3135453.6,85.46205,28.33663,2654.0
14303,349277.8,3135423.6,85.46236,28.33636,2649.7
14346,349247.8,3135393.6,85.46206,28.33609,2648.0
14376,349217.8,3135393.6,85.46176,28.33608,2651.6
14406,349187.8,3135393.6,85.46145,28.33608,2652.5
14436,349157.8,3135393.6,85.46114,28.33607,2652.2
14466,349127.8,3135393.6,85.46084,28.33607,2653.4
14496,349097.8,3135393.6,85.46053,28.33607,2653.3
14526,349067.8,3135393.6,85.46023,28.33606,2654.0
14556,349037.8,3135393.6,85.45992,28.33606,2654.9
14598,349007.8,3135363.6,85.45962,28.33579,2665.6
14628,348977.8,3135363.6,85.45931,28.33578,2664.2
14658,348947.8,3135363.6,85.45901,28.33578,2659.6
14688,348917.8,3135363.6,85.45870,28.33578,2654.7
14718,348887.8,3135363.6,85.45839,28.33577,2650.8
14748,348857.8,3135363.6,85.45809,28.33577,2645.4
14778,348827.8,3135363.6,85.45778,28.33577,2644.7
14808,348797.8,3135363.6,85.45748,28.33576,2645.3
14838,348767.8,3135363.6,85.45717,28.33576,2639.4
14880,348737.8,3135393.6,85.45686,28.33603,2618.9
14910,348707.8,3135393.6,85.45656,28.33602,2616.9
14953,348677.8,3135423.6,85.45625,28.33629,2614.0
14983,348647.8,3135423.6,85.45594,28.33629,2613.7
15013,348617.8,3135423.6,85.45563,28.33628,2608.4
15043,348587.8,3135423.6,85.45533,28.33628,2602.1
15073,348557.8,3135423.6,85.45502,28.33628,2598.3
15115,348527.8,3135393.6,85.45472,28.33600,2592.6
15145,348497.8,3135393.6,85.45441,28.33600,2580.9
15175,348467.8,3135393.6,85.45411,28.33600,2572.6
15218,348437.8,3135363.6,85.45381,28.33572,2563.5
15260,348407.8,3135333.6,85.45350,28.33545,2556.8
15290,348377.8,3135333.6,85.45320,28.33544,2551.0
15320,348347.8,3135333.6,85.45289,28.33544,2551.9
15350,348317.8,3135333.6,85.45259,28.33544,2550.7
15380,348287.8,3135333.6,85.45228,28.33543,2547.4
15410,348257.8,3135333.6,85.45197,28.33543,2544.1
15440,348227.8,3135333.6,85.45167,28.33543,2539.9
15470,348197.8,3135333.6,85.45136,28.33542,2537.6
15513,348167.8,3135303.6,85.45106,28.33515,2537.0
15543,348137.8,3135303.6,85.45075,28.33514,2528.9
15573,348107.8,3135303.6,85.45045,28.33514,2523.5
15603,348077.8,3135303.6,85.45014,28.33514,2518.6
15633,348047.8,3135303.6,85.44984,28.33513,2512.2
15663,348017.8,3135303.6,85.44953,28.33513,2508.1
15693,347987.8,3135303.6,85.44922,28.33513,2510.5
15723,347957.8,3135303.6,85.44892,28.33512,2511.2
15753,347927.8,3135303.6,85.44861,28.33512,2504.3
15783,347897.8,3135303.6,85.44831,28.33512,2495.2
15813,347867.8,3135303.6,85.44800,28.33511,2483.8
15843,347837.8,3135303.6,85.44769,28.33511,2471.7
15873,347807.8,3135303.6,85.44739,28.33511,2462.8
15915,347777.8,3135333.6,85.44708,28.33537,2460.0
15945,347747.8,3135333.6,85.44677,28.33537,2452.8
15975,347717.8,3135333.6,85.44647,28.33537,2450.4
16005,347687.8,3135333.6,85.44616,28.33536,2448.5
16035,347657.8,3135333.6,85.44585,28.33536,2447.2
16065,347627.8,3135333.6,85.44555,28.33536,2448.3
16107,347657.8,3135363.6,85.44585,28.33563,2452.5
16137,347627.8,3135363.6,85.44554,28.33563,2454.5
16180,347597.8,3135333.6,85.44524,28.33535,2458.5
16210,347597.8,3135363.6,85.44524,28.33562,2459.8
16252,347567.8,3135333.6,85.44494,28.33535,2462.3
16282,347537.8,3135333.6,85.44463,28.33535,2457.9
16312,347507.8,3135333.6,85.44432,28.33534,2444.9
16342,347477.8,3135333.6,85.44402,28.33534,2439.7
16372,347447.8,3135333.6,85.44371,28.33534,2436.7
16402,347417.8,3135333.6,85.44341,28.33533,2433.9
16432,347387.8,3135333.6,85.44310,28.33533,2425.5
16462,347357.8,3135333.6,85.44279,28.33533,2415.9
16492,347327.8,3135333.6,85.44249,28.33532,2413.2
16522,347297.8,3135333.6,85.44218,28.33532,2411.9
16565,347267.8,3135303.6,85.44188,28.33504,2405.6
16607,347237.8,3135333.6,85.44157,28.33531,2403.3
16637,347207.8,3135333.6,85.44126,28.33531,2396.2
16667,347177.8,3135333.6,85.44096,28.33530,2389.0
16697,347147.8,3135333.6,85.44065,28.33530,2383.0
16727,347117.8,3135333.6,85.44035,28.33530,2379.4
16757,347087.8,3135333.6,85.44004,28.33529,2376.8
16787,347057.8,3135333.6,85.43974,28.33529,2375.5
16817,347027.8,3135333.6,85.43943,28.33529,2376.5
16860,346997.8,3135303.6,85.43913,28.33501,2373.9
16890,346967.8,3135303.6,85.43882,28.33501,2372.1
16920,346937.8,3135303.6,85.43852,28.33501,2368.1
16950,346907.8,3135303.6,85.43821,28.33500,2365.5
